epoch,MAPE,MSE
0,1.0045549,374.10858
1,0.8478524,286.5904
2,1.5856357,267.26788
3,0.8887704,254.14088
4,0.8546894,226.47025
5,0.7962477,328.93036
6,0.8262494,292.24536
7,0.9417348,204.77475
8,0.70900035,162.82718
9,0.94713557,206.18121
10,1.078829,249.41982
11,0.94989693,276.28754
12,0.88001215,265.45764
13,0.827409,205.5755
14,1.0258737,186.29633
15,0.8430722,212.92102
16,1.1990217,226.2904
17,1.0466299,171.0718
18,1.1617758,162.66321
19,0.5560123,152.43161
20,0.62029815,94.3292
21,0.61040515,120.42549
22,0.37442142,66.52286
23,1.0603036,39.095245
24,0.5806962,66.51279
25,4.788499,618.33984
26,0.7957306,168.87611
27,1.0681078,287.67758
28,0.82811344,158.07446
29,0.5298413,56.751827
30,1.3863294,248.43605
31,0.88557833,104.666245
32,0.39735433,99.41145
33,0.47098082,72.21864
34,0.5254839,135.82257
35,0.4995606,123.34515
36,0.30064577,58.62687
37,0.29786623,91.82684
38,0.30463544,75.159744
39,0.37701035,93.135376
40,0.50248003,48.024204
41,0.76848674,54.99393
42,1.0967553,48.72972
43,0.4625142,50.042835
44,0.90744555,56.682274
45,0.6257582,57.464863
46,1.0423784,55.27614
47,0.608641,52.420185
48,1.3882656,59.908966
49,1.1779752,43.473145
50,0.88706636,29.50283
51,0.42705297,52.840027
52,0.4631334,38.26304
53,0.40692782,30.67341
54,0.66457963,34.369858
55,0.68418986,45.511528
56,0.71998453,62.91017
57,0.74354863,42.72954
58,0.38213658,56.447746
59,0.79804605,32.52518
60,0.6777695,53.054253
61,1.1223118,33.944897
62,1.3076596,45.65937
63,0.6288072,46.828083
64,0.4141705,31.874077
65,0.5591554,43.367188
66,0.9552597,34.307243
67,0.8220347,30.295452
68,0.71197677,29.170364
69,0.8346374,31.173653
70,0.52695537,41.10414
71,0.69676495,37.07569
72,0.6077962,29.791489
73,0.70092356,36.280792
74,0.7473619,39.79837
75,0.8904639,39.011097
76,0.7567687,36.681015
77,0.3235258,30.381622
78,0.5735254,44.756886
79,0.79361075,31.83161
80,0.82528627,45.29706
81,0.8784877,37.035995
82,0.6247161,38.039165
83,1.0006422,30.546173
84,0.68853545,31.931393
85,0.45188627,31.23268
86,1.0547035,41.761505
87,0.7975451,29.51625
88,1.1708434,35.07122
89,1.2519234,35.55104
90,0.36288312,27.238466
91,0.9829905,49.634434
92,0.6781094,27.11005
93,0.74851644,40.079178
94,0.46577966,21.498875
95,0.50470686,23.290318
96,1.0465237,39.329617
97,0.54546976,19.46903
98,0.53289235,34.38507
99,0.5982047,35.116547
100,0.39257836,30.777271
101,0.71172214,42.222748
102,0.54219455,19.188318
103,1.2518325,37.498283
104,0.5602994,24.908825
105,0.5348306,24.342093
106,0.62495595,30.180986
107,0.465204,20.002457
