factor,epsilon,seed,strategy,revenue
0.25,0.07158910531638177,0,Expert,3138782.5580502693
0.25,0.07158910531638177,0,Decision Table,2298480.0
0.25,0.07158910531638177,0,DP,3018870.0
0.25,0.07158910531638177,0,DDPG,2550139.105237961
0.25,0.07158910531638177,0,BIRD,2630568.0786716384
0.25,0.07158910531638177,1,Expert,3168886.8010443244
0.25,0.07158910531638177,1,Decision Table,2212650.0
0.25,0.07158910531638177,1,DP,3033570.0
0.25,0.07158910531638177,1,DDPG,2478733.4815940857
0.25,0.07158910531638177,1,BIRD,2585076.119577422
0.25,0.07158910531638177,2,Expert,3425705.4559190543
0.25,0.07158910531638177,2,Decision Table,2030450.0
0.25,0.07158910531638177,2,DP,3038430.0
0.25,0.07158910531638177,2,DDPG,2445664.501153946
0.25,0.07158910531638177,2,BIRD,2507649.505830688
0.5,0.14317821063276354,0,Expert,3138782.5580502693
0.5,0.14317821063276354,0,Decision Table,2298480.0
0.5,0.14317821063276354,0,DP,3018870.0
0.5,0.14317821063276354,0,DDPG,2550139.105237961
0.5,0.14317821063276354,0,BIRD,2487481.9730030047
0.5,0.14317821063276354,1,Expert,3168886.8010443244
0.5,0.14317821063276354,1,Decision Table,2212650.0
0.5,0.14317821063276354,1,DP,3033570.0
0.5,0.14317821063276354,1,DDPG,2478733.4815940857
0.5,0.14317821063276354,1,BIRD,2563514.8239687905
0.5,0.14317821063276354,2,Expert,3425705.4559190543
0.5,0.14317821063276354,2,Decision Table,2030450.0
0.5,0.14317821063276354,2,DP,3038430.0
0.5,0.14317821063276354,2,DDPG,2445664.501153946
0.5,0.14317821063276354,2,BIRD,2549364.1047062394
1.0,0.2863564212655271,0,Expert,3138782.5580502693
1.0,0.2863564212655271,0,Decision Table,2298480.0
1.0,0.2863564212655271,0,DP,3018870.0
1.0,0.2863564212655271,0,DDPG,2550139.105237961
1.0,0.2863564212655271,0,BIRD,2502528.503698523
1.0,0.2863564212655271,1,Expert,3168886.8010443244
1.0,0.2863564212655271,1,Decision Table,2212650.0
1.0,0.2863564212655271,1,DP,3033570.0
1.0,0.2863564212655271,1,DDPG,2478733.4815940857
1.0,0.2863564212655271,1,BIRD,2500348.340415084
1.0,0.2863564212655271,2,Expert,3425705.4559190543
1.0,0.2863564212655271,2,Decision Table,2030450.0
1.0,0.2863564212655271,2,DP,3038430.0
1.0,0.2863564212655271,2,DDPG,2445664.501153946
1.0,0.2863564212655271,2,BIRD,2586312.180381038
2.0,0.5727128425310541,0,Expert,3138782.5580502693
2.0,0.5727128425310541,0,Decision Table,2298480.0
2.0,0.5727128425310541,0,DP,3018870.0
2.0,0.5727128425310541,0,DDPG,2550139.105237961
2.0,0.5727128425310541,0,BIRD,2289786.569447913
2.0,0.5727128425310541,1,Expert,3168886.8010443244
2.0,0.5727128425310541,1,Decision Table,2212650.0
2.0,0.5727128425310541,1,DP,3033570.0
2.0,0.5727128425310541,1,DDPG,2478733.4815940857
2.0,0.5727128425310541,1,BIRD,2447073.4393282235
2.0,0.5727128425310541,2,Expert,3425705.4559190543
2.0,0.5727128425310541,2,Decision Table,2030450.0
2.0,0.5727128425310541,2,DP,3038430.0
2.0,0.5727128425310541,2,DDPG,2445664.501153946
2.0,0.5727128425310541,2,BIRD,2224838.0760598257
