seed,strategy,revenue
0,Expert,3138782.5580502693
0,Decision Table,2298480.0
0,DP,3018870.0
0,DDPG,2550139.105237961
0,BIRD,2502528.503698523
1,Expert,3168886.8010443244
1,Decision Table,2212650.0
1,DP,3033570.0
1,DDPG,2478733.4815940857
1,BIRD,2500348.340415084
2,Expert,3425705.4559190543
2,Decision Table,2030450.0
2,DP,3038430.0
2,DDPG,2445664.501153946
2,BIRD,2586312.180381038
3,Expert,2806763.524154003
3,Decision Table,2194810.0
3,DP,3027435.0
3,DDPG,2473733.4816303253
3,BIRD,2406816.905677077
4,Expert,3146826.65541329
4,Decision Table,2168320.0
4,DP,3022925.0
4,DDPG,2479751.144361496
4,BIRD,2354410.4285654826
