WBL_NUM,WBL_CNTR_UUID,CNTR_TYPE,IS_EMPTY,SOC,TRANS_TYPE,LEG_TYPE,IS_MAIN,POL_CDE,POL_NME,LDD_SVVD,POD_CDE,POD_NME,WBL_AUD_DT,MAIN_SVVD_SAILING_DATE,CGO_BRIEF_DESC_CDE,BKG_MTHD,CGO_BRIEF_DESC_CNNME,AMT
Q008149010,f5bb139e75fb4774a8613256ed989b70,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/10 14:47,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008149010,0ba4012283344aac8fa7b59a686de925,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/10 14:47,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008210620,9d23eee1c223476e9a757a1e9c4cb5c3,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,e5dae5d54d2f45a78cd61a59ddf4ca59,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,501200fd778c435dbafc745921bc616e,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,a77832e111cd4be48867e679467a49f7,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,9d9772b0142d4c5f9e8d8a8430b2574e,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,3284cebe6f2a4cde80cff327a08f7773,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,4851fa33a5a44e78838d5d3ca15a5fc8,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,985447fd889643328acc570e5c3ea626,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,41e4b2cf626b442d8d66f325bfc950f5,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,13960d0a97fc41c28457cae75a7a801c,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,dfff8cf9cdab4c6c9047c90223b0182a,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008210620,48bc8213b12e44c294c8dccb001fbbee,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/11 16:51,2019/4/21 6:10,CT1100500001,TF,玉米,2840.25
Q008220270,10267bf1d8c14de3b2d097f7840e059b,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:27,2019/4/21 6:10,CT1100300001,TF,大米,2840.25
Q008220270,ade3b1d089dd4de5b286fb78523fa022,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:27,2019/4/21 6:10,CT1100300001,TF,大米,2840.25
Q008220271,b2bdc5cd99be41d2a71a10b697b8f5ed,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:27,2019/4/21 6:10,CT1100600002,TF,黄豆,2840.25
Q008220271,69cddf80bdc44e59a8de63fa64cb4399,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:27,2019/4/21 6:10,CT1100600002,TF,黄豆,2840.25
Q008220273,2e551702b0404b2fa6d6feb01c269fb4,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:27,2019/4/21 6:10,CT1100800031,TF,芽豆,2840.25
Q008220480,e3be0becbf14468096d17e3fe8dbebdc,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220480,18ad57aa46a849f5a792edbbad6921f7,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220481,70adeae5b671443cbc56fb053059f6ab,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220481,dea072636c5a45f2994af18a87969ac9,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220482,434aa25a57ef4b64b84f6f3ee6a2e8f8,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220482,4c2fcf9f3a914366be3706b862661ce6,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220483,43351cb6e39e4f458775008fdcabe090,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220483,11e2289f43cb42d591985133b55c2d02,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220484,83e131893f294a568240edf99cd35867,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220484,83f2471b5b4c46259855b4d3e51f8a4e,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220486,e351442776d249e7b7d59c50eb53dc1a,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220486,897285d38f8d4cb59319905d40fc5d8a,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220487,21098f155c404aa4987683d64c930ca3,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220487,5a049ef5cd4242ec80683cdacf99bb2d,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220488,63435f2cc2b048e290ce317e2bc8c71e,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220488,f38be47f819b431885a7547c2aafb8db,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220489,b1b13b36ce7a428ca7e170fad285468c,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
Q008220489,8e63639676c94405b847560a0dbfa37b,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAB-158 S,QZH,钦州,2019/4/12 9:29,2019/4/21 6:10,CT1100600001,TF,大豆,2840.25
