LDD_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_AUD_DTDL,MAIN_SVVD_SAILING_DATE,NUM,PRICE
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-10 16:00:00,2019/4/21 6:10,2,2840.25
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-11 18:00:00,2019/4/21 6:10,12,2840.25
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-12 10:00:00,2019/4/21 6:10,55,2840.25
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-12 12:00:00,2019/4/21 6:10,22,3039.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-12 14:00:00,2019/4/21 6:10,9,2840.25
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-12 16:00:00,2019/4/21 6:10,2,2840.25
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-13 12:00:00,2019/4/21 6:10,2,2840.25
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-13 14:00:00,2019/4/21 6:10,8,2913.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-14 10:00:00,2019/4/21 6:10,10,2913.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-14 12:00:00,2019/4/21 6:10,7,2913.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-14 16:00:00,2019/4/21 6:10,2,2913.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-14 18:00:00,2019/4/21 6:10,2,2913.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-14 20:00:00,2019/4/21 6:10,2,2913.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-15 10:00:00,2019/4/21 6:10,16,2913.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-15 12:00:00,2019/4/21 6:10,28,2913.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-15 16:00:00,2019/4/21 6:10,2,2913.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-15 18:00:00,2019/4/21 6:10,8,2966.25
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-16 10:00:00,2019/4/21 6:10,6,2966.25
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-16 12:00:00,2019/4/21 6:10,12,3039.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-17 16:00:00,2019/4/21 6:10,4,3039.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-18 12:00:00,2019/4/21 6:10,2,3039.75
IC19-CAB-158 S,YIK,营口,QZH,钦州,2019-04-19 16:00:00,2019/4/21 6:10,3,3039.75
IC19-CAW-035 S,YIK,营口,QZH,钦州,2019-04-20 10:00:00,2019/4/26 22:00,4,2966.25
IC19-CAW-035 S,YIK,营口,QZH,钦州,2019-04-20 14:00:00,2019/4/26 22:00,1,2934.75
IC19-CAW-035 S,YIK,营口,QZH,钦州,2019-04-21 10:00:00,2019/4/26 22:00,20,2934.75
IC19-CAW-035 S,YIK,营口,QZH,钦州,2019-04-21 12:00:00,2019/4/26 22:00,22,2934.75
