T,seed,strategy,revenue,epsilon
500,0,Expert,2637728.361635387,0.9055385138137416
500,0,Decision Table,2383650.0,0.9055385138137416
500,0,DP,2923620.0,0.9055385138137416
500,0,DDPG,2342541.996623001,0.9055385138137416
500,0,BIRD,271824.6204146058,0.9055385138137416
500,1,Expert,1760714.126601841,0.9055385138137416
500,1,Decision Table,2298300.0,0.9055385138137416
500,1,DP,2872555.0,0.9055385138137416
500,1,DDPG,2095060.6989614652,0.9055385138137416
500,1,BIRD,347660.40587145055,0.9055385138137416
500,2,Expert,2545638.811613316,0.9055385138137416
500,2,Decision Table,2328530.0,0.9055385138137416
500,2,DP,2895650.0,0.9055385138137416
500,2,DDPG,2258142.603867884,0.9055385138137416
500,2,BIRD,343117.3889229564,0.9055385138137416
1250,0,Expert,2824701.1481411587,0.5727128425310541
1250,0,Decision Table,2241030.0,0.5727128425310541
1250,0,DP,3027290.0,0.5727128425310541
1250,0,DDPG,1805199.0375976562,0.5727128425310541
1250,0,BIRD,2291124.577578996,0.5727128425310541
1250,1,Expert,2110429.6550779766,0.5727128425310541
1250,1,Decision Table,2191290.0,0.5727128425310541
1250,1,DP,3025080.0,0.5727128425310541
1250,1,DDPG,1777289.5473594666,0.5727128425310541
1250,1,BIRD,2082738.5339227016,0.5727128425310541
1250,2,Expert,2886955.651856139,0.5727128425310541
1250,2,Decision Table,2122490.0,0.5727128425310541
1250,2,DP,3031060.0,0.5727128425310541
1250,2,DDPG,1781362.39443779,0.5727128425310541
1250,2,BIRD,2621090.7125660186,0.5727128425310541
2500,0,Expert,2493366.888353368,0.4049691346263318
2500,0,Decision Table,2338210.0,0.4049691346263318
2500,0,DP,3038560.0,0.4049691346263318
2500,0,DDPG,2091250.6183300018,0.4049691346263318
2500,0,BIRD,2908630.489933189,0.4049691346263318
2500,1,Expert,2749445.80617699,0.4049691346263318
2500,1,Decision Table,2059400.0,0.4049691346263318
2500,1,DP,3020865.0,0.4049691346263318
2500,1,DDPG,2008594.994731903,0.4049691346263318
2500,1,BIRD,2817465.972998033,0.4049691346263318
2500,2,Expert,2989153.8259084513,0.4049691346263318
2500,2,Decision Table,2197890.0,0.4049691346263318
2500,2,DP,3019290.0,0.4049691346263318
2500,2,DDPG,1967301.6731033325,0.4049691346263318
2500,2,BIRD,2525776.3887789585,0.4049691346263318
5000,0,Expert,3138782.5580502693,0.2863564212655271
5000,0,Decision Table,2298480.0,0.2863564212655271
5000,0,DP,3018870.0,0.2863564212655271
5000,0,DDPG,2550139.105237961,0.2863564212655271
5000,0,BIRD,2502528.503698523,0.2863564212655271
5000,1,Expert,3168886.8010443244,0.2863564212655271
5000,1,Decision Table,2212650.0,0.2863564212655271
5000,1,DP,3033570.0,0.2863564212655271
5000,1,DDPG,2478733.4815940857,0.2863564212655271
5000,1,BIRD,2500348.340415084,0.2863564212655271
5000,2,Expert,3425705.4559190543,0.2863564212655271
5000,2,Decision Table,2030450.0,0.2863564212655271
5000,2,DP,3038430.0,0.2863564212655271
5000,2,DDPG,2445664.501153946,0.2863564212655271
5000,2,BIRD,2586312.180381038,0.2863564212655271
