seed,method,type,revenue,best_fixed,best_fixed_revenue,loss_pct_vs_best_fixed,switches,epsilon_nosell_steps,missing_steps
0,Expert,base,3138782.5580502683,Expert,3138782.5580502683,0.0,0,0,0
0,Decision Table,base,2298480.0,Expert,3138782.5580502683,26.7716078609868,0,0,0
0,DP,base,3018870.0,Expert,3138782.5580502683,3.8203525039579342,0,0,0
0,DDPG,base,2550139.105237961,Expert,3138782.5580502683,18.75387803792174,0,0,0
0,BIRD-CurrentClean,bird,2502528.503698523,Expert,3138782.5580502683,20.270727346814706,,,
0,BIRD-DChasing-OracleFixed,bird,3023090.065255724,Expert,3138782.5580502683,3.6859033926328957,0,1472,0
0,BIRD-DChasing-FTL,bird,2750705.496042209,Expert,3138782.5580502683,12.363935851903124,6,1472,0
0,BIRD-DChasing-KVFPL,bird,3026610.0,Expert,3138782.5580502683,3.573760079766311,0,1472,0
1,Expert,base,3168886.801044324,Expert,3168886.801044324,0.0,0,0,0
1,Decision Table,base,2212650.0,Expert,3168886.801044324,30.17579551056197,0,0,0
1,DP,base,3033570.0,Expert,3168886.801044324,4.270168344281959,0,0,0
1,DDPG,base,2478733.4815940857,Expert,3168886.801044324,21.779046169235027,0,0,0
1,BIRD-CurrentClean,bird,2500348.340415084,Expert,3168886.801044324,21.096949894484084,,,
1,BIRD-DChasing-OracleFixed,bird,3139135.309461248,Expert,3168886.801044324,0.9388625549284713,0,1419,0
1,BIRD-DChasing-FTL,bird,2813611.5918053202,Expert,3168886.801044324,11.211356906845674,10,1419,0
1,BIRD-DChasing-KVFPL,bird,3034505.0,Expert,3168886.801044324,4.2406627147437925,0,1419,0
2,Expert,base,3425705.4559190543,Expert,3425705.4559190543,0.0,0,0,0
2,Decision Table,base,2030450.0,Expert,3425705.4559190543,40.72899651977618,0,0,0
2,DP,base,3038430.0,Expert,3425705.4559190543,11.304984065396113,0,0,0
2,DDPG,base,2445664.501153946,Expert,3425705.4559190543,28.608441892508864,0,0,0
2,BIRD-CurrentClean,bird,2586312.180381038,Expert,3425705.4559190543,24.502785961580056,,,
2,BIRD-DChasing-OracleFixed,bird,3166028.810000452,Expert,3425705.4559190543,7.58023855991249,0,1469,0
2,BIRD-DChasing-FTL,bird,3050848.1266435273,Expert,3425705.4559190543,10.94248568941721,12,1469,0
2,BIRD-DChasing-KVFPL,bird,1384450.0,Expert,3425705.4559190543,59.58642627585221,0,1469,0
3,Expert,base,2806763.5241540032,DP,3027435.0,7.28905743132377,0,0,0
3,Decision Table,base,2194810.0,DP,3027435.0,27.50265488771848,0,0,0
3,DP,base,3027435.0,DP,3027435.0,0.0,0,0,0
3,DDPG,base,2473733.4816303253,DP,3027435.0,18.28946016577316,0,0,0
3,BIRD-CurrentClean,bird,2406816.905677077,DP,3027435.0,20.49979914755967,,,
3,BIRD-DChasing-OracleFixed,bird,3027080.0,DP,3027435.0,0.01172609816560884,0,1400,0
3,BIRD-DChasing-FTL,bird,2667762.8178404537,DP,3027435.0,11.880426240680519,10,1400,0
3,BIRD-DChasing-KVFPL,bird,3027080.0,DP,3027435.0,0.01172609816560884,0,1400,0
4,Expert,base,3146826.6554132896,Expert,3146826.6554132896,0.0,0,0,0
4,Decision Table,base,2168320.0,Expert,3146826.6554132896,31.095028819907373,0,0,0
4,DP,base,3022925.0,Expert,3146826.6554132896,3.9373524181940325,0,0,0
4,DDPG,base,2479751.144361496,Expert,3146826.6554132896,21.19835580724681,0,0,0
4,BIRD-CurrentClean,bird,2354410.4285654826,Expert,3146826.6554132896,25.181438751469297,,,
4,BIRD-DChasing-OracleFixed,bird,3056966.8965357514,Expert,3146826.6554132896,2.8555674880584228,0,1461,0
4,BIRD-DChasing-FTL,bird,2787288.8450972927,Expert,3146826.6554132896,11.42540882248809,6,1461,0
4,BIRD-DChasing-KVFPL,bird,3023470.0,Expert,3146826.6554132896,3.9200333835067402,0,1461,0
